song_id,title,lyrics,album
0,Thunderous1,"So they call me ""the one shouting,"" oh It's Changbin, I choose my own path With a tough attitude Like a locomotive going recklessly down the track, ayy By a fierce hurricane, umbrellas flip inside-out The faultfinder's last day, haha, serves them right Go back woodcutter, there's nothing to cut here There's no way they can lower my ego, I stick to my principles Horns get louder and grander Honk, honk, honk, honk",NOEASY
1,Thunderous2,"Here they come Villains make my blood boil and circulate throughout my body All eyes on the gathering of the famous thunderous ones are Freezing cold but I know we'll burn forever I don't care how they look at me I'll always say what I have to say, Ptui, Ptui, Ptui",NOEASY
2,Thunderous3,"Rumble, snap, crack, thunder (Ba-ra-ba-bam) Riding on the clouds, tada (Ba-ra-ba-bam) The thunderous one appears with the wind Bang, bang, bang, boom Man I'm not sorry, I'm dirty Keep on talking, we don't play by the rules",NOEASY
3,Thunderous4,"Yeah, everybody's talking nonsense Tired of this and that, shaking my head You talk too much, stop meddling *Why you mad? Why you sad? Why are you ticking me off?* I don't care at all Neener-neener, your attempt to look cool is just cute You don't even come close to me, this is my show Listen (What's up?) You're jealous (Guess they are) Push everything aside and throw it away",NOEASY
4,Thunderous5,"The thunderous ones have arrived (Huh) The thunderous ones have arrived (Get out of the way) They don't come everyday The thunderous ones have arrived I was born crooked, my voice can go against a hundred If I don't like something, I'll talk back until I'm satisfied Final warning, immediately back up (Spit it out) Act tough (Back off) I'll always say what I have to say, Ptui Ptui Ptui",NOEASY
5,Domino1,"Do-re-mi-fa-sol-la-si-do Going up one after the other, a scale (Ha) Umm, undoubtedly different from the attempt, my challenge will break several seals (Ha) Umm, I'm not picky, I'll add every topping and chew and bite it (Ddaeng-ddaeng-ddaeng, pizza) Uhm? Like a franchise's main shop You imitate me, yes, everyone, keep an eye on him Fix your gaze, pretend you're not looking, look to the side yeah Yeah I know, yeah I know Even if I hide it, it's obvious The battle of Bapsae The stork in it is annoying",NOEASY
6,Domino2,"Setting up my ambitions Completing them one by one, I made it Now it's time for ignition It starts with me, they follow me, the domino effect Oh, oh, oh Fire it up, oh, oh, no Everyone's gathering now, now Line everyone up here No one's an exception",NOEASY
7,Domino3,"With a single nudge, domino Domino, domino, domino, domino, domino, domino With a single nudge, domino Domino, domino, domino, domino, domino, domino Dan-dan-dan-dan Play, play with them, with one gesture, everyone attention Pay attention I don't play, keep your laugh and raise up tall Sensation yeah Like domino",NOEASY
8,Domino4,"Ey, domino, with a tap everything comes falling apart Yuh, ka-boom, a single breath makes everything crumble apart, blah, blah Okay, row until the end, my nickname's bulldozer Even when everyone falls, follow me in crawl position, follow My punchline makes everyone laugh their heads off Director that enjoys dad jokes can stay out The child who when taught one, knew it all Can make a million things happen with a single nod",NOEASY
9,Domino5,"If you lightly touch it, it will bounce back against your will If you see it, you can see it clearly, eventually it'll collapse I can't avoid all of the expressions that look at me What I feel right now is expressed with envy Hey, my never ending domino Hey, my never ending domino One by one, go down, down, down, down One by one, they follow",NOEASY
10,Cheese1,"Du-du-du-du-du-du is that funny to you? Is it funny that we have a headache? Are these A-grade vibes funny to you? Ha, cheese",NOEASY
11,Cheese2,"Our hairstyle and our fashion Looks good to me I am used to being treated like an outsider An alien, I am that bold Funny, funny, if you laughed at me I'll crack you up even harder Just by looking at me, you can tell, I was born to be a clown Do you go for a ride together?",NOEASY
12,Cheese3,"(Hold up) We're so funny you all got stiff, Parmesan cheese If you say one word, the vibe freezes Your humor is a bit mozzarella cheese Jeez, Jeez I love what you hate Whatever you say, it's all fun to me Thank you, I love it Gonna create chaos with our nonsense now",NOEASY
13,Cheese4,"Index finger (thumb), middle finger (index finger), ring finger, pinky, what? Index finger, middle finger, ring finger, pinky, put them down like, what? Bite down, take a bite yeah, and enjoy yourselves anyway, what's the matter? Turn that frown upside down, and put on a smile, like pizza dough Cheese",NOEASY
14,Cheese5,Du-du-du-du-du-du is that funny to you? (Cheese) Is it funny that we have a headache? (Cheese) Are these A-grade vibes funny to you? Is this funny? Cheese Is the pigeon and the magpie funny to you? (Cheese) Is the crow's crowing funny to you? (Cheese) Are these A-grade vibes funny to you? Is it funny? Cheese,NOEASY
16,Cheese7,"Isn't how we walk so funny? Everything we made is a joke Look, why'd you say it like that? Shotgun in your tongue reload click-clack, bang! So think whatever you like This and that, I don't know Do what you do, out of fucks to give My downfall is just a stupid dream of yours",NOEASY
17,Ssick1,"With a fierce smile, ssick You fell for me, pick I am even your friend's pick Bouncing up to me two or three times And their heads goes ping ping ping My Triple Axel skating seems to cross over Your protected dizzy line of boundaries The fakes pretending to be hot are bland I'm tired of hypocrites treating me well Get out of the way, I'm sick and I'm tired Don't cross the line, don't calling you and I an 'us' yet",NOEASY
18,Ssick2,"Excuse me for a moment My phone's ringing non-stop So along with my modesty I'll put it inside my pocket I'm so sick Sick, sick Me so sick Sick, sick They think they were possessed When I'm with the mic, with the mic Caution in the night, in the night I'm so sick With the mic, with the mic I smirk with only one side of my mouth, ssick",NOEASY
19,Ssick3,"Feel good, everybody in a dreamy mood The level of danger is barely avoided (Warning, danger) I'm being called here and there, pa, ba-ba, my heart is beating fast The kids that keep making puns can just leave, shh I'm a player, I change the mood, game changer I'm not copying you, from that style I back off On this night that makes everybody's blood boil They can't pretend they don't know me, I'm busy being called",NOEASY
20,Ssick4,"Oh, yeah, I know That I don't have anything special But yeah, did you know? That I, myself, am really special, yeah, yeah Excuse me for a moment My phone's ringing non-stop So along with my modesty I'll put it inside my pocket",NOEASY
21,Ssick5,"I was sick even when I was born Yeah, I didn't cry, ssick Even my first step was sick Even the news about me are sick I got a diploma And when I'm up on stage I'm sick After receiving the award, ssick We came to do this You see?",NOEASY
22,TheView1,"Floating on the blowing leaves In the blue sky, clouds like a submarine swim And I keep seeing them in front of my eyes Am I dreaming? It's that beautiful I was absolutely speechless I couldn't move, I feel so refreshed Yesterday felt so stuck But today, I feel comfortable without those frustrating feelings",NOEASY
23,TheView2,"I didn't know, the road in front of me seemed dark 'Cause I never ever let it go Now I feel comfortable, I like it, this feeling And I'll never ever let it go (Let's go)",NOEASY
24,TheView3,"I like the view right now (Yeah, yeah) I like the view right now (Right now, right now) I like the view right now (Right now) I like the view right now (Ooh, woah; Ayy, ayy)",NOEASY
25,TheView4,"Back then, the place used to be vast like a desert Now it is a wide field where I want to run I can see the different colors in this place Big and small futures are alive and breathing, ayy Did everybody depart after following the gentle wind? The troubles that hovered around me are gone I'm filled with visions that welcome me anew There are no steep hills, I run comfortably",NOEASY
26,TheView5,"The wind spreading all throughout the cardinal points has welcomed me so I stayed there for a while Due to the branches reaching out to me My vision is getting clearer, now light me up Running on the field now Without any worries, I I don't know where this will end I leave it all to the refreshing wind",NOEASY
27,TheView6,"Even if the sun goes down, even if the sun goes down Na-na-na, na-na-na After a day passes by, after a day passes by Na-na-na, na-na-na",NOEASY
28,TheView7,"Everything was difficult Back during time, I didn't even know No matter how much I waited At that time, I would only bump into a blank wall ayy, ayy In the dizzy mess that was my mind The wind blowed through the dust and took it away, far away The rough and tiring typhoon has passed Now I can see a thousand miles in front of me",NOEASY
29,SilentCry1,"You, *pretending to be unaffected, just like that* (You) are smiling but I can hear it in your words You always say ""I'm okay"" but I can see everything How your heart sobs when you're alone After turning off the lights in your quiet room You, who used to smile brightly, are slowly dying In this empty space, with nobody inside of it Sometimes only your long sighs can be heard at night How your heart sobs when you're alone",NOEASY
30,SilentCry2,"In reality, your eyes are dry, ayy I can't find an oasis in your heart You're still wandering, ayy I take one step closer, ooh",NOEASY
31,SilentCry3,I'll listen to your silent cry So that you don't get tired in a lost corner of your heart Through the cracks in the door of that poorly closed space called 'you' There is a silent cry that only I can hear The silent cry that you've been hiding for a while,NOEASY
32,SilentCry4,"You can show your tears that you've been quietly hiding To me woah, woah, woah Ooh, woah, woah, woah Can I listen to your familiar self-talk too? Don't be the only one hurting Give me your silent cry, ooh, woah",NOEASY
33,SilentCry5,"I'll cry with you Stop holding it in, let it go, go, go When you lose strength, I'll hold you (I'll) Just lean on me, 'cause I won't let you go I don't think it's easy to just hold it in There are many times when you can't even do so If you don't feel like it, then why do you smile? I'll say ""It's okay"" to you",NOEASY
34,SilentCry6,"When it rains in your heart I'll take you with me Don't hang in there, I'll open my umbrella It seems too difficult to stop the overflowing tears The rainwater wells up, the rainwater wells up, everything is complicated The dark shadow behind your bright appearance Can be shown to me, don't hide it from me",NOEASY
36,SecretSecret1,I can't say anything Words just linger in my mouth Sometimes I get scared Will someone notice? I shout louder in the sound of rain I'm afraid all my words will be buried The sky is getting cloudy,NOEASY
37,SecretSecret2,"Drooping shoulders, wet clothes Even the loud music seems so quiet All of my frustrated thoughts I want to throw it away in this rain, so I take it out",NOEASY
38,SecretSecret3,"Put all your worries away in the falling rain So that I don't get immersed in my self more deeply Baby, it's fallin' (Ayy, oh) To the last drop (Ayy, oh) Let it go with a smile Everything until the end of our fingertips",NOEASY
39,SecretSecret4,"Pretending to be okay makes me even lonelier Looking at a different place, all alone I endlessly repeat to draw and erase my worries Even if I repeat it, nothing will change Someday you'll get used to it I will live without even this feeling It'll be okay if you walk around busy Like the ground hardens after rain and flowers bloom again",NOEASY
40,SecretSecret5,"Saggy shoulders, wet clothes Even the loud music can be heard at a low level All of my frustrated voice I want to throw it away in this rain, so I take it out",NOEASY
41,SecretSecret6,"I try to smile more (Never, ever, ever, ever) (Never, ever, ever, ever) The days are getting longer (Never, ever, ever, ever) (Never, ever, ever, ever) I'm getting more and more tired (Never, ever, ever, ever) (Never, ever, ever, ever) I feel left alone in the world Will I get better by deceiving my own heart?",NOEASY
42,SecretSecret7,"Shake off all my worries by putting them into the falling rain (Oh, ooh) So that I don't get immersed in my self more deeply (Yeah) Baby, it's fallin' (Ayy, oh) To the last drop (Ayy, oh) (To the last drop) Let me go with a smile Everything until the end of our fingertips (Everything until the very end)",NOEASY
43,SecretSecret8,"Never, ever, ever, ever Never, ever, ever, ever Never, ever, ever, ever Everything until the end of our fingertips",NOEASY
44,MixtapeOH1,"When my hand touches you We see us in each other's eyes I'm out of breath at the first feeling I felt This can't be explained Never just like that I know it's not because I'm more greedy I just want to tease you, although it's ridiculous All calculated thoughts stop I want to be found like I have lied, even this excitement I just don't want to linger around you like a scent",NOEASY
45,MixtapeOH2,"I thought I knew I was arrogant as if I knew everything But I didn't know, with you Why does it get harder the closer you get? Even if I prepare something to say, it disappears somewhere In the end, I am just talking nonsense",NOEASY
46,MixtapeOH3,"When I hold your hand, I feel younger Don't look at me like that I look you in the eye and take another step towards you Even if I make plans, in front of you, I'm still a kid",NOEASY
47,MixtapeOH4,"I know this isn't meant to be wasted I know better, this is more than that, you are my everything My heart wants you, I want your heart more This heart is poisoned, only you are the antidote My heart is certain, but it doesn't work out the way I want Silly expression, behavior, manners A grown-up person, a grown-up love Things that seem easy for a mature man Everything is difficult in front of you",NOEASY
48,MixtapeOH5,"What should I do? Is it just an illusion? Will it end easily? Closer we get Come closer, I want to reach you Baby (Come closer, I want to reach you) Even if I make plans, in front of you, I'm still I look you in the eye and take another step towards you Even if I make plans, in front of you, I'm still a kid",NOEASY
49,Maniac1,"Relax everyone, stop pretending to be normal All of your smiles look weird When the lock is released, we're all the same Your eyes can't fool me, ho",MANIAC
50,Maniac2,"The real self has been released (Yup, yup) Barely holding on (Yup, yup) After blinking once, back Again, back to cosplaying as what society Defines normal to be pow",MANIAC
51,Maniac3,"Mash up, mind blown put my mind on back up Prototype, on the inside I’m always a freaky monster Kindness is no longer trending, now rotten You can backbite me as much as you want, I'll ignore them anyway Poppin', If you think I'm just pure and innocent, you're wrong When a favor continues, people think it's their right, toxic This is what drives me crazy, warning",MANIAC
52,Maniac4,"Maniac Going crazy, like I have a loose screw maniac Spinning, going crazy Maniac walk like Frankenstein Maniac, maniac (Ha-ha) Maniac (Oh) Laugh like I have a loose screw maniac (You can't stop the smoke) Spinning, going crazy (Thick as fog) Maniac, a maniac group (We're maniacs) Maniac, maniac",MANIAC
53,Maniac5,"Like the seam of a torn doll (Ha) Eventually, you'll expose your real self In this not easy life It ain't ""live,"" it's ""holding on,"" yeah",MANIAC
54,Maniac6,"This street I'm walking on is a minefield Like a dormant volcano, never know when it'll all explode Never know when the calm winds will change Everyone lives hiding themselves like a sealed tornado Poppin', if you think I'm just pure and innocent, you're wrong When a favor continues, people think it's their right, toxic This is what drives me crazy, warning",MANIAC
55,Maniac7,"Eyes filled with lunatic All senses are tense Locked up while wrapped up in that pretty package As time goes by, it'll eventually be revealed The inner self that was hidden, yeah",MANIAC
56,Venom1,"Spider web Spider web It's tied up tightly Spider web (spider web) Spider web Got me, got me, got me",MANIAC
57,Venom2,"I got caught again pretending not to know on my way I knew I couldn't get out of it, but I got caught again I'm trapped in this sticky web Criminal, the deadly venom has already spread",MANIAC
58,Venom3,"No escape, I have lost all my senses Can't feel my fingers (Ah-ah-ah-ah) I got caught, you got me wrapped up Around your fingers I'm drunk off your touch that captivated me I want it more, I need it more This spreading venom, this addictive poison Any sense of feeling threatened has disappeared now",MANIAC
59,Venom4,"Yeah, spider You got me locked up, ayy I am caught alive, trap, trap Swallow it, ay Emergency, emergency, sirens are blaring You got me like Harley. Got me like Harley Rather than being afraid I feel like I got caught up in this dangerous game, everyone's silent",MANIAC
60,Venom5,"Every day feeling pressured, I'm nervous tomorrow You never know when you'll catch me, man. I'm serious, man Beside me, above me, behind me, you are all around me I'm twisted up in your spider web, uh (Okay) My body is trembling from your predatory threats I'm overwhelmed by your dark force, my mind skips a beat at the sight",MANIAC
61,Venom6,"A raging hurricane (Nodding) not a single move Why are you in such a hurry? I am wrapped up in front of you I can't run away. Where would I even go? I'm your prey, overwhelmed by your atmosphere around me",MANIAC
62,Venom7,"The more I move the more trapped I get The greatest twist is that your appearance is the trap Poison. Inject it into me Spreading more and more quickly, my body taking in your poison I am dazed by the spider web wrapped around Me from head to toe I can feel the chills and shivers Even if I try to run away, it's already",MANIAC
63,LonelySt1,"As I walk down the street, falling down, I'm falling down The street is desolated I blackout again at every free time spaced out The street is isolated Still astray, ayy-ayy-ayy Astray, ayy-ayy, ayy-ayy-ayy-ayy Astray, ayy-ayy-ayy Just stuff it all 'cause I'ma go on my way",MANIAC
64,LonelySt2,"A night where I briefly close my eyes I can't see anything anyway What was I expecting? It's the same even when I open my eyes (Astray) This isolated road without a single light The streetlight broke a long time ago The shoe soles that are all worn out are left behind Footprints won't last long, they'll be erased",MANIAC
65,LonelySt3,"I feel like I'll faint from exhaustion I don't think I can go further Although I have a lot taken away from me, ayy This is my last time walking this way Don't come to comfort me now I'm still on my way",MANIAC
66,LonelySt4,"Every day and night I'm walking (Walking) It's darker when you walk alone at night I'm lonely but I'm the lone king (Lone king) I'll pull out the sword and draw my true own path Towards the sunset but I'm blue I can't see it, even with the moon I'm still astray, I'm still astray, ayy, ayy",MANIAC
67,WaitingForUs1,I'm running in the darkened time I want to see you The light at the end of the winter is coming closer Let's hang in there for just one more day You and I,MANIAC
68,WaitingForUs2,It's blooming It's blowing I missed seeing you Feeling alive I'll be waiting For the day in which the petals fall,MANIAC
69,WaitingForUs3,I wonder if the cold days were difficult Do you think I don't know how you felt? Ah You were the light in the shade Reach out so I can hold your hand,MANIAC
70,WaitingForUs4,"'Cause I'm right here, waiting for us At times, I was afraid I didn't think you'd ever come again So I'll tightly hold your hands No matter what moment comes I won't let you go",MANIAC
71,WaitingForUs5,"At the end of a long, long wait The cold air has ended (Ah-ah-ah) And my heart that was frozen melts with your warmth I'll melt your frozen heart too",MANIAC
72,Freeze1,"Eat breakfast, unfreeze Eat lunch, unfreeze Eat dinner, unfreeze I feel spiritless even if I eat three meals a day The day is just passing by It's cooling after burning hot Restrictions, regulations, rules Just sweep away the broken atmosphere, ooh",MANIAC
73,Freeze2,"I do whatever you want every single day I work on whatever I can get my hands on I only put what's mine in my goals Blow the rest away by the hurricane You can't do anything done by just looking around Time just ticking by A colt freed from it's reins, a bully with a screw loose I'm on my way out right before that point",MANIAC
74,Freeze3,"Step out, the way I want Move out, everyone's movin' the way they feel There's no time to wait A huge iceberg obstruct in front of me There's no time to melt it, break it down Even If I slipped and fell On this sheet of ice, woah-oh-oh I'll just shake it off and tap-tap my shoulders And stand back up With a loud cheer ahead",MANIAC
75,Freeze4,"Put your hands up to your head (Put your hands up) Feel the sense of freedom (Y'all turn up) Water gun Run before the tagger comes Ice freeze, ice freeze",MANIAC
76,Freeze5,"Free me, free me from the things that kept me in captive Pressure, back off, what are you saying? You're so into it It's like a prison break, unlock it all, freeze! Give them the rules, break it all down, bang, bang (Ooh) I ran out and took off my handcuffs Freeze! Hit my frozen body",MANIAC
77,Freeze6,"Nothing else in my sight now Like this, I'll be the champion with victory in one hand They're all just freaked out Because of my obvious ease Stop right there, keep trying, if we don't succeed I'll keep rocking until I overcome it all (Ah)",MANIAC
78,Freeze7,"I'm crossing the line, I can't stand it anymore One more time, I break the ice The words I take control, and just let it out Once again, I break the ice Run, even if I'm on ice, let it go Burn it up, raise the fire in your heart right now *I'm getting out now* (Burn up, run more unhesitantly)",MANIAC
79,Case1431,"A new case, an unforgettable case I'm falling for your fatal attraction You, who keeps setting me on fire Are a question with an unknown source, homework that needs to be done Can I be your boyfriend? I've never faked my attitude towards you, no cap It's full of stuff I want to tell you, my case There are no words that describe the perfection",MAXIDENT
80,Case1432,"You got me losing patience It's an uncontrollable emotion You're on my mind, I never feel alright Numerous emotions collide, what's going on Rolling in the deep inside my head You got me bad Letting my guard down Swiftly moving towards you, on my way (Oh)",MAXIDENT
